Name,Type,Genre,Platform,Watched
Ghosted,Film,Romance,Apple TV,No
Freaks and Geeks,Series,Drama,Unknown,Partly
Orange is the New Black,Series,Drama,Netflix,Partly
The Railway Children Return,Film,Adventure,Unknown,No
Mosul,Film,Action,Netflix,No
Class Dismissed,Series,Comedy,IPlayer,No
Feria: The Darkest Light,Series,Thriller,Netflix,No
Ted Lasso,Series,Comedy,Unknown,No
Deception,Series,Drama,Apple TV,No
The Rookie,Series,Drama,Unknown,No
My Man Madrid,Film,Action,Unknown,Yes
The Idol,Series,Drama,Unknown,No
Cruel Intentions 2,Film,Drama,Unknown,No
Midway,Film,Action,Unknown,No
Maid,Series,Drama,Netflix,No
Manifest,Series,Drama,Netflix,No
No Escape,Series,Thriller,Paramount+,No
Skins,Series,Drama,Netflix,No
Narcos,Series,Drama,Netflix,No
Charlies Angels,Film,Action,Unknown,No
Everything Everywhere All at Once,Film,Action,Amazon,No
Don't Look Up,Film,Comedy,Netflix,No
13 Minutes,Film,Action,Amazon,No
Prehistoric Planet,Series,Documentary,Apple TV,No
Turn of the Tide,Series,Drama,Netflix,No
I Think You should Leave,Series,Comedy,Netflix,Partly
The White Lotus,Series,Drama,HBO,No
The Voyeurs,Film,Thriller,Unknown,No
Everything Sucks,Series,Drama,Netflix,No
WildFlower,Film,Drama,Unknown,No
The Covenant,Series,Action,Amazon,No
Gotham Knights,Series,Superhero,Unknown,No
The Crowded Room,Series,Drama,Apple TV,No
The Summer I Turned Pretty,Series,Romance,Apple TV,No
It Follows,Film,Horror,Unknown,No
The Man in the High Castle,Series,Drama,Amazon,No
Foundation,Series,Drama,Apple TV,Partly
Mr D,Series,Drama,Unknown,No
Django Unchained,Film,Drama,Unknown,No
Altered Carbon,Series,Drama,Netflix,Partly
The Great,Series,Drama,Hulu,No
Teen Spirit,Film,Drama,Unknown,No
Lucifer,Series,Drama,Netflix,No
The Ballad of Buster Scruggs,Film,Comedy,Unknown,No
Danger Close: The Battle of Long Tan,Film,Action,Unknown,No
Outlaw King,Film,Action,Netflix,No
Marcella,Film,Drama,Netflix,No
The Little Drummer Girl,Series,Thriller,Amazon,No
This Is Us,Series,Romance,Disney+,No
Valkyrie,Film,Thriller,Amazon,No
Underwater,Film,Horror,Disney+,No
Status Update,Film,Comedy,Unknown,No
Mud,Film,Drama,Amazon,No
Holes,Film,Drama,Unknown,No
Jack Ryan,Series,Action,Amazon,No
Carnival Row,Series,Drama,Amazon,No
Silo,Series,Drama,Apple TV,No
The Clique,Film,Drama,Unknown,No
The Purge,Film,Thriller,Amazon,Yes
Milk Money,Film,Romance,Unknown,No
My Teacher My Obsession,Film,Romance,Amazon,No
Special Ops: Lioness,Series,Action,Paramount+,No
Daredevil,Series,Action,Disney+,No
Jury Duty,Series,Comedy,Amazon,No
